"Name","Subject","Scheduled Date","Open Rate","Click To Open Ratio","Total Click Through Rate","Total Delivered","Total Opens","Total Clicks","Unique Clicks","Unique Click Through Rate","Unique Opens","Opt Out Rate","Unique Opt Outs","Spam Complaint Rate","Campaign Name"
"LATAM_Event_DataCenter-Security Summit_Jun2024","DATACENTER AND CYBERSECURITY SUMMIT 2024","05-30-2024 10:38 AM","43.48","60.00","34.78","46","33","16","12","26.09","20","0.00","0","0.00","LATAM_Event_DataCenter-Security Summit_Jun2024"
"LATAM_Web_ContactCenter_Ent_May2024_R1","Optimice el ROI de su Contact Center","05-27-2024 08:00 AM","13.09","27.83","4.16","3513","599","146","128","3.64","460","0.03","1","0.00","LATAM_Web_ContactCenter_Ent_May2024"
"LATAM_Web_ContactCenter_Ent_May2024","{{Recipient.FirstName}} ,  Gracias por Registrarse a nuestro evento","05-21-2024 08:12 AM","65.88","7.14","4.71","85","73","4","4","4.71","56","0.00","0","0.00","LATAM_Web_ContactCenter_Ent_May2024"
"LATAM_Web_ContactCenter_Ent_May2024","Le invitamos al webinar ""Cómo calcular el ROI en una plataforma de contact center""","05-21-2024 08:00 AM","31.00","36.09","15.54","5078","2360","789","568","11.19","1574","0.12","6","0.00","LATAM_Web_ContactCenter_Ent_May2024"
"LATAM_Event_VIPLinks_apr2024_SPA_hub","LINKS: ¡Acceda al contenido adicional!","05-17-2024 08:00 AM","66.67","70.83","63.89","36","37","23","17","47.22","24","0.00","0","0.00","LATAM_Event_VIPLinks_apr2024"
"LATAM_CR_OP_EM_INVITACIÓNVIP2","Únete a nuestra NOCHE VIP: Protección de datos con HPE GreenLake y Zerto","05-14-2024 11:00 AM","38.46","0.00","0.00","13","21","0","0","0.00","5","0.00","0","0.00","LATAM_CR_OP_LI_EventoHPEmarzo2024"
"LATAM_CR_OP_ET_INVITACIÓNVIP1","Únete a nuestra NOCHE VIP: Protección de datos con HPE GreenLake y Zerto","05-10-2024 01:00 PM","63.64","0.00","0.00","11","14","0","0","0.00","7","0.00","0","0.00","LATAM_CR_OP_LI_EventoHPEmarzo2024"
"LATAM_Info_Newsletter_Ent_Apr2024_EN","April 2024: Liberty Networks Newsletter","04-10-2024 08:06 AM","21.04","36.92","15.86","309","102","49","24","7.77","65","0.00","0","0.00","LATAM_Info_Newsletter_Ent_Apr2024"
"LATAM_Info_Newsletter_Ent_Apr2024_SPA","Abril 2024: Boletín Liberty Networks","04-10-2024 08:06 AM","33.54","34.93","17.81","5856","2983","1043","686","11.71","1964","0.10","6","0.00","LATAM_Info_Newsletter_Ent_Apr2024"
"LATAM_Col_Info_PasarelaPagos_Ent_Mar2024_A1","¡Ya puede visitar nuestra nueva pasarela de pagos!","04-01-2024 12:01 PM","36.10","13.73","6.03","2967","1985","179","147","4.95","1071","0.27","8","0.00","LATAM_Col_Info_PasarelaPagos_Ent_Mar2024"
"LAT_REG_EDUCATIONSUMMIT_2024_thankyou","Education Summit: ¡Gracias por participar!","03-28-2024 08:00 AM","68.18","46.67","54.55","22","21","12","7","31.82","15","0.00","0","0.00","LATAM_Event_Educationsummit_ent_Mar2024"
"LATAM_Event_VIPLinks_apr2024_GUA_R3","¡Descubre a nuestros increíbles ponentes para nuestro evento!","03-22-2024 11:52 AM","100.00","16.67","16.67","6","17","1","1","16.67","6","0.00","0","0.00","LATAM_Event_VIPLinks_apr2024"
"LATAM_Event_VIPLinks_apr2024_ES_R3","¡Descubre a nuestros increíbles ponentes para nuestro evento!","03-22-2024 11:52 AM","75.00","8.33","6.25","16","21","1","1","6.25","12","0.00","0","0.00","LATAM_Event_VIPLinks_apr2024"
"LATAM_Event_VIPLinks_apr2024_HON_R3","¡Descubre a nuestros increíbles ponentes para nuestro evento!","03-22-2024 11:52 AM","37.50","0.00","0.00","8","6","0","0","0.00","3","0.00","0","0.00","LATAM_Event_VIPLinks_apr2024"
"LATAM_Event_VIPLinks_apr2024_COL_R3","¡Descubre a nuestros increíbles ponentes para nuestro evento!","03-22-2024 11:51 AM","83.33","40.00","66.67","6","14","4","2","33.33","5","0.00","0","0.00","LATAM_Event_VIPLinks_apr2024"
"LATAM_ES_Event_PowerAsAService_Ent_Mar2024_thankyou","Gracias por asistir a nuestro evento","03-21-2024 08:00 AM","69.23","0.00","0.00","13","23","0","0","0.00","9","0.00","0","0.00","LATAM_ES_Event_PowerAsAService_Ent_Mar2024"
"LATAM_ES_Event_PowerAsAService_Ent_Mar2024_diaprevio","Mañana es nuestro evento, ¡acompáñenos!","03-19-2024 08:00 AM","69.57","18.75","17.39","23","28","4","3","13.04","16","0.00","0","0.00","LATAM_ES_Event_PowerAsAService_Ent_Mar2024"
"LATAM_ES_Event_PowerAsAService_Ent_Mar2024","{{Recipient.FirstName}} te invitamos a una experiencia única de ciberseguridad","03-15-2024 10:18 AM","39.68","64.00","36.51","63","158","23","16","25.40","25","0.00","0","0.00","LATAM_ES_Event_PowerAsAService_Ent_Mar2024"
"LATAM_ES_Event_PowerAsAService_Ent_Mar2024","{{Recipient.FirstName}},  Gracias por Registrarse a nuestro evento","03-14-2024 11:55 AM","47.06","25.00","11.76","17","10","2","2","11.76","8","0.00","0","0.00","LATAM_ES_Event_PowerAsAService_Ent_Mar2024"
"LAT_REG_EDUCATIONSUMMIT_2024_COL_A3","Education Summit: ¡Nos vemos la próxima semana!","03-06-2024 08:00 AM","66.67","62.50","133.33","12","17","16","5","41.67","8","0.00","0","0.00","LATAM_Event_Educationsummit_ent_Mar2024"
"LAT_REG_EDUCATIONSUMMIT_2024_DR_A3","Education Summit: ¡Nos vemos la próxima semana!","03-06-2024 08:00 AM","50.00","50.00","25.00","4","7","1","1","25.00","2","0.00","0","0.00","LATAM_Event_Educationsummit_ent_Mar2024"
"LAT_REG_EDUCATIONSUMMIT_2024_GUA_A3","Education Summit: ¡Nos vemos la próxima semana!","03-06-2024 08:00 AM","100.00","40.00","60.00","5","7","3","2","40.00","5","0.00","0","0.00","LATAM_Event_Educationsummit_ent_Mar2024"
"LAT_REG_EDUCATIONSUMMIT_2024_ES_A3","Education Summit: ¡Nos vemos la próxima semana!","03-06-2024 08:00 AM","84.62","9.09","30.77","13","26","4","1","7.69","11","0.00","0","0.00","LATAM_Event_Educationsummit_ent_Mar2024"
"LAT_REG_EDUCATIONSUMMIT_2024_HON_A3","Education Summit: ¡Nos vemos la próxima semana!","03-06-2024 08:00 AM","87.50","14.29","37.50","8","33","3","1","12.50","7","0.00","0","0.00","LATAM_Event_Educationsummit_ent_Mar2024"
