"Name","Subject","Scheduled Date","Open Rate","Click To Open Ratio","Total Click Through Rate","Total Delivered","Total Opens","Total Clicks","Unique Clicks","Unique Click Through Rate","Unique Opens","Opt Out Rate","Unique Opt Outs","Spam Complaint Rate","Campaign Name"
"Send Email (4)","Una invitación para acelerar el crecimiento de su negocio.","07-24-2024 10:04 AM","45.45","20.00","13.64","22","17","3","2","9.09","10","4.35","1","0.00","LATAM_Col_Prod_Acquisition_Ent_Jun2024"
"NETWORKS_Prod_ISPS_Ent_Jun2024_R3","¿Cómo acercar el contenido a sus clientes?","07-23-2024 08:00 AM","9.17","4.69","0.43","698","71","3","3","0.43","64","0.29","2","0.00","NETWORKS_Reg_Prod_ISPS_Whs_Jun2024"
"LATAM_ES_Event_Office365_Jun2024_thankyou","Gracias por asistir a nuestro evento","07-22-2024 11:04 AM","54.29","10.53","5.71","35","33","2","2","5.71","19","0.00","0","0.00","LATAM_ES_Event_Office365_Ent_Jun2024"
"LATAM_Info_RedesComunicado_MSeg_Jul2024_SPA","Comunicado importante: CrowdStrike","07-19-2024 11:13 AM","45.60","4.93","2.58","4542","3769","117","102","2.25","2071","0.00","0","0.00","LATAM_Reg_Info_Redes Comunicado_MSeg_Jul2024"
"Send Email (12)","La infraestructura que impulsa a su negocio hacia el futuro.","07-16-2024 10:01 AM","42.86","22.22","9.52","21","13","2","2","9.52","9","0.00","0","0.00","LATAM_Col_Prod_Acquisition_Ent_Jun2024"
"NETWORKS_Prod_ISPS_Ent_Jun2024_A3","¿Cómo acercar el contenido a sus clientes?","07-16-2024 08:00 AM","29.60","9.85","7.55","1338","514","101","39","2.91","396","0.30","4","0.00","NETWORKS_Reg_Prod_ISPS_Whs_Jun2024"
"Send Email (6)","¿Listo para llevar a su empresa al próximo nivel?","07-16-2024 07:00 AM","55.04","21.13","17.05","129","128","22","15","11.63","71","0.00","0","0.00","LATAM_Col_Prod_Xsell_Ent_Jun2024"
"NETWORKS_Prod_Acquisition_Ent_Jul2024_SPA","Liberty Networks: La fibra que lo conecta","07-11-2024 10:25 AM","34.40","42.11","24.49","939","489","230","136","14.48","323","0.10","1","0.00","NETWORKS_Reg_Prod_Acquisition_Whs_Jul2024"
"NETWORKS_Prod_Acquisition_Ent_Jul2024_ENG","Liberty Networks: The fiber that connects you","07-11-2024 10:25 AM","23.03","21.92","6.31","317","96","20","16","5.05","73","0.00","0","0.00","NETWORKS_Reg_Prod_Acquisition_Whs_Jul2024"
"Send Email (12)","¿Por qué necesita migrar a SD-WAN ahora?","07-11-2024 07:01 AM","12.40","12.50","1.55","129","19","2","2","1.55","16","0.00","0","0.00","LATAM_Col_Prod_Xsell_Ent_Jun2024"
"Send Email (4)","Soluciones para una estrategia ganadora de Multicloud","07-11-2024 07:01 AM","6.67","0.00","0.00","15","1","0","0","0.00","1","0.00","0","0.00","LATAM_Col_Prod_Xsell_Ent_Jun2024"
"Send Email (9)","Riesgos y costos de ser víctima de un ciberataque","07-11-2024 07:01 AM","12.50","0.00","0.00","32","10","0","0","0.00","4","0.00","0","0.00","LATAM_Col_Prod_Xsell_Ent_Jun2024"
"Send Email (13)","Descubra cómo Liberty Networks puede impulsar su negocio al siguiente nivel.","07-10-2024 10:02 AM","38.10","12.50","4.76","21","12","1","1","4.76","8","0.00","0","0.00","LATAM_Col_Prod_Acquisition_Ent_Jun2024"
"NETWORKS_Prod_ISPS_Ent_Jun2024_R2","El impacto de IPv6 en su empresa","07-09-2024 08:00 AM","6.99","21.05","1.84","815","79","15","12","1.47","57","0.12","1","0.00","NETWORKS_Reg_Prod_ISPS_Whs_Jun2024"
"NETWORKS_Info_Newsletter_Ent_Jul2024_SPA","Network News Julio 2024","07-05-2024 01:16 PM","34.47","45.68","32.77","235","127","77","37","15.74","81","0.00","0","0.00","NETWORKS_Reg_Info_Newsletter_Whs_Jul2024"
"NETWORKS_Info_Newsletter_Ent_Jul2024_Eng","Network News July 2024","07-05-2024 01:16 PM","32.35","0.00","0.00","68","34","0","0","0.00","22","0.00","0","0.00","NETWORKS_Reg_Info_Newsletter_Whs_Jul2024"
