"Name","Subject","Scheduled Date","Open Rate","Click To Open Ratio","Total Click Through Rate","Total Delivered","Total Opens","Total Clicks","Unique Clicks","Unique Click Through Rate","Unique Opens","Opt Out Rate","Unique Opt Outs","Spam Complaint Rate","Campaign Name"
"Send Email (10)","Desafíos en la gestión de redes empresariales","07-01-2024 07:01 AM","30.77","20.31","9.13","208","90","19","13","6.25","64","0.46","1","0.00","LATAM_Col_Prod_Xsell_Ent_Jun2024"
"Send Email (7)","¿Cómo enfrentar los retos de ciberseguridad en su empresa?","07-01-2024 07:01 AM","35.09","20.00","12.28","57","33","7","4","7.02","20","0.00","0","0.00","LATAM_Col_Prod_Xsell_Ent_Jun2024"
"Send Email","¿Su negocio está listo para multicloud?","07-01-2024 07:01 AM","24.00","0.00","0.00","25","8","0","0","0.00","6","0.00","0","0.00","LATAM_Col_Prod_Xsell_Ent_Jun2024"
"Send Email (11)","La infraestructura que impulsa a su negocio hacia el futuro.","06-28-2024 10:01 AM","23.58","8.05","5.83","738","252","43","14","1.90","174","0.40","3","0.00","LATAM_COL_Prod_Acquisition_Ent_Jun2024"
"Send Email (7)","La base de la transformación digital en la educación.","06-28-2024 10:01 AM","19.35","25.00","4.84","62","14","3","3","4.84","12","3.17","2","0.00","LATAM_COL_Prod_Acquisition_Ent_Jun2024"
"Send Email (9)","La base de la transformación digital en la salud.","06-28-2024 10:01 AM","20.83","40.00","20.83","96","22","20","8","8.33","20","0.00","0","0.00","LATAM_COL_Prod_Acquisition_Ent_Jun2024"
"Send Email (2)","La base de la transformación digital en las finanzas.","06-28-2024 10:01 AM","20.59","7.14","1.47","136","30","2","2","1.47","28","0.00","0","0.00","LATAM_COL_Prod_Acquisition_Ent_Jun2024"
"Send Email (5)","La base de la transformación digital en el sector gobierno.","06-28-2024 10:01 AM","33.33","0.00","0.00","12","5","0","0","0.00","4","0.00","0","0.00","LATAM_COL_Prod_Acquisition_Ent_Jun2024"
"Send Email (10)","Descubra cómo Liberty Networks puede impulsar su negocio al siguiente nivel.","06-24-2024 10:01 AM","23.51","10.92","6.62","740","228","49","19","2.57","174","0.13","1","0.00","LATAM_COL_Prod_Acquisition_Ent_Jun2024"
"Send Email (1)","El secreto para acelerar sus operaciones financieras.","06-24-2024 10:01 AM","24.82","11.76","5.84","137","44","8","4","2.92","34","0.00","0","0.00","LATAM_COL_Prod_Acquisition_Ent_Jun2024"
"Send Email (8)","Modernice sus operaciones y mejore la experiencia de los pacientes.","06-24-2024 10:01 AM","19.79","21.05","9.38","96","21","9","4","4.17","19","0.00","0","0.00","LATAM_COL_Prod_Acquisition_Ent_Jun2024"
"Send Email (6)","Supere el desafío de la hiperconectividad en el aula.","06-24-2024 10:01 AM","25.81","18.75","4.84","62","22","3","3","4.84","16","0.00","0","0.00","LATAM_COL_Prod_Acquisition_Ent_Jun2024"
"Send Email (4)","Llegue a más ciudadanos con nuestras soluciones de TI.","06-24-2024 10:01 AM","25.00","33.33","8.33","12","4","1","1","8.33","3","0.00","0","0.00","LATAM_COL_Prod_Acquisition_Ent_Jun2024"
"LATAM_Web_ContactCenter_Ent_May2024_thankyou","Gracias por asistir a nuestro webinar","06-20-2024 08:29 AM","51.72","30.00","17.24","58","80","10","9","15.52","30","0.00","0","0.00","LATAM_Web_ContactCenter_Ent_May2024"
"LATAM_Event_DataCenter-Security Summit_Jun2024_thankyou2","iReviva lo mejor del DCC Summit 2024!","06-20-2024 08:00 AM","53.33","79.17","57.78","45","37","26","19","42.22","24","0.00","0","0.00","LATAM_Event_DataCenter-Security Summit_Jun2024"
"LATAM_Web_ContactCenter_Ent_May2024_diaprevio","¡Nos vemos mañana en nuestro webinar!","06-18-2024 08:00 AM","57.86","30.43","21.38","159","166","34","28","17.61","92","0.00","0","0.00","LATAM_Web_ContactCenter_Ent_May2024"
"Send Email (4)","Una invitación para acelerar el crecimiento de su negocio.","06-14-2024 12:46 PM","60.00","0.00","0.00","5","4","0","0","0.00","3","0.00","0","0.00","LATAM_COL_Prod_Acquisition_Ent_Jun2024"
"Send Email (6)","La base de la transformación digital en el sector gobierno.","06-14-2024 12:44 PM","25.00","0.00","0.00","4","1","0","0","0.00","1","0.00","0","0.00","LATAM_COL_Prod_Acquisition_Ent_Jun2024"
"Send Email (5)","Llegue a más ciudadanos con nuestras soluciones de TI.","06-14-2024 12:42 PM","50.00","0.00","0.00","4","2","0","0","0.00","2","0.00","0","0.00","LATAM_COL_Prod_Acquisition_Ent_Jun2024"
"Send Email","Soluciones tecnológicas, con el soporte que necesita.","06-14-2024 12:40 PM","60.00","0.00","0.00","5","3","0","0","0.00","3","0.00","0","0.00","LATAM_COL_Prod_Acquisition_Ent_Jun2024"
"LATAM_Event_DataCenter-Security Summit_Jun2024_thankyou","Datacenter and Cybersecurity Summit 2024: Gracias por asistir a nuestro evento","06-13-2024 10:27 AM","52.27","69.57","45.45","44","50","20","16","36.36","23","0.00","0","0.00","LATAM_Event_DataCenter-Security Summit_Jun2024"
"LATAM_Web_ContactCenter_Ent_May2024_R4","Aprenda sobre el ROI en Contact Centers","06-12-2024 08:00 AM","31.11","38.67","16.24","4896","2117","795","589","12.03","1523","0.08","4","0.00","LATAM_Web_ContactCenter_Ent_May2024"
"LATAM_Web_ContactCenter_Ent_May2024_R3","Webinar: Mejore la eficiencia de su contact center","06-06-2024 08:00 AM","5.81","34.57","2.37","2788","196","66","56","2.01","162","0.07","2","0.00","LATAM_Web_ContactCenter_Ent_May2024"
"LATAM_DR_Prod_Seguridad_Mid_May2024_Jennifer","Proteja a su compañía de un ciberataque este 2024","06-04-2024 12:07 PM","47.37","0.00","0.00","19","11","0","0","0.00","9","0.00","0","0.00","LATAM_DR_Prod_Seguridad_Mid_May2024"
"LATAM_DR_Prod_Seguridad_Mid_May2024_EvelynM","Proteja a su compañía de un ciberataque este 2024","06-04-2024 12:06 PM","63.64","0.00","0.00","11","7","0","0","0.00","7","0.00","0","0.00","LATAM_DR_Prod_Conectividad_Mid_May2024"
"LATAM_DR_Prod_Seguridad_Mid_May2024_ManuelM","Proteja a su compañía de un ciberataque este 2024","06-04-2024 12:06 PM","36.36","0.00","0.00","11","4","0","0","0.00","4","0.00","0","0.00","LATAM_DR_Prod_Seguridad_Mid_May2024"
"LATAM_DR_Prod_Seguridad_Mid_May2024_Orban","Proteja a su compañía de un ciberataque este 2024","06-04-2024 12:06 PM","53.33","4.17","2.22","45","44","1","1","2.22","24","0.00","0","0.00","LATAM_DR_Prod_Seguridad_Mid_May2024"
"LATAM_DR_Prod_Seguridad_Mid_May2024_Yissel","Proteja a su compañía de un ciberataque este 2024","06-04-2024 12:05 PM","69.23","0.00","0.00","13","20","0","0","0.00","9","0.00","0","0.00","LATAM_DR_Prod_Seguridad_Mid_May2024"
"LATAM_DR_Prod_Seguridad_Mid_May2024_Joel","Proteja a su compañía de un ciberataque este 2024","06-04-2024 12:05 PM","60.71","0.00","0.00","28","25","0","0","0.00","17","0.00","0","0.00","LATAM_DR_Prod_Seguridad_Mid_May2024"
"LATAM_DR_Prod_Conectividad_Mid_May2024_JoelC","Redes Confiables: El motor de la productividad en la era digital","06-04-2024 12:04 PM","47.06","18.75","11.76","34","33","4","3","8.82","16","0.00","0","0.00","LATAM_DR_Prod_Conectividad_Mid_May2024"
"LATAM_DR_Prod_Conectividad_Mid_May2024_OrbanM","Redes Confiables: El motor de la productividad en la era digital","06-04-2024 12:04 PM","44.44","30.00","20.00","45","31","9","6","13.33","20","0.00","0","0.00","LATAM_DR_Prod_Conectividad_Mid_May2024"
"LATAM_DR_Prod_Conectividad_Mid_May2024_JenniferG","Redes Confiables: El motor de la productividad en la era digital","06-04-2024 12:04 PM","53.85","7.14","3.85","26","17","1","1","3.85","14","0.00","0","0.00","LATAM_DR_Prod_Conectividad_Mid_May2024"
"LATAM_DR_Prod_Conectividad_Mid_May2024_EvelynM","Redes Confiables: El motor de la productividad en la era digital","06-04-2024 12:04 PM","43.90","27.78","14.63","41","24","6","5","12.20","18","0.00","0","0.00","LATAM_DR_Prod_Conectividad_Mid_May2024"
"LATAM_DR_Prod_Conectividad_Mid_May2024_ManuelM","Redes Confiables: El motor de la productividad en la era digital","06-04-2024 12:03 PM","80.00","12.50","10.00","10","12","1","1","10.00","8","0.00","0","0.00","LATAM_DR_Prod_Conectividad_Mid_May2024"
"LATAM_DR_Prod_Conectividad_Mid_May2024_YisselJ","Redes Confiables: El motor de la productividad en la era digital","06-04-2024 12:03 PM","51.85","21.43","14.81","27","35","4","3","11.11","14","0.00","0","0.00","LATAM_DR_Prod_Conectividad_Mid_May2024"
"LATAM_Web_ContactCenter_Ent_May2024_R2","Webinar: Aprenda a calcular el ROI en su contact center: Webinar gratuito","05-31-2024 08:00 AM","31.70","36.65","16.20","4975","2189","806","578","11.62","1577","0.00","0","0.00","LATAM_Web_ContactCenter_Ent_May2024"
"LATAM_Event_DataCenter-Security Summit_Jun2024","DATACENTER AND CYBERSECURITY SUMMIT 2024","05-30-2024 10:38 AM","72.73","71.88","93.18","44","100","41","23","52.27","32","0.00","0","0.00","LATAM_Event_DataCenter-Security Summit_Jun2024"
"LATAM_Web_ContactCenter_Ent_May2024_R1","Optimice el ROI de su Contact Center","05-27-2024 08:00 AM","14.01","29.47","4.70","3513","661","165","145","4.13","492","0.03","1","0.00","LATAM_Web_ContactCenter_Ent_May2024"
"LATAM_Web_ContactCenter_Ent_May2024","{{Recipient.FirstName}} ,  Gracias por Registrarse a nuestro evento","05-21-2024 08:12 AM","68.26","23.68","18.56","167","175","31","27","16.17","114","0.00","0","0.00","LATAM_Web_ContactCenter_Ent_May2024"
"LATAM_Web_ContactCenter_Ent_May2024","Le invitamos al webinar ""Cómo calcular el ROI en una plataforma de contact center""","05-21-2024 08:00 AM","31.59","36.91","16.58","5078","2478","842","592","11.66","1604","0.12","6","0.00","LATAM_Web_ContactCenter_Ent_May2024"
"LATAM_Event_VIPLinks_apr2024_SPA_hub","LINKS: ¡Acceda al contenido adicional!","05-17-2024 08:00 AM","66.67","70.83","63.89","36","38","23","17","47.22","24","0.00","0","0.00","LATAM_Event_VIPLinks_apr2024"
"LATAM_CR_OP_EM_INVITACIÓNVIP2","Únete a nuestra NOCHE VIP: Protección de datos con HPE GreenLake y Zerto","05-14-2024 11:00 AM","38.46","0.00","0.00","13","21","0","0","0.00","5","0.00","0","0.00","LATAM_CR_OP_LI_EventoHPEmarzo2024"
"LATAM_CR_OP_ET_INVITACIÓNVIP1","Únete a nuestra NOCHE VIP: Protección de datos con HPE GreenLake y Zerto","05-10-2024 01:00 PM","63.64","0.00","0.00","11","14","0","0","0.00","7","0.00","0","0.00","LATAM_CR_OP_LI_EventoHPEmarzo2024"
"LATAM_Info_Newsletter_Ent_Apr2024_EN","April 2024: Liberty Networks Newsletter","04-10-2024 08:06 AM","21.04","36.92","15.86","309","103","49","24","7.77","65","0.00","0","0.00","LATAM_Info_Newsletter_Ent_Apr2024"
"LATAM_Info_Newsletter_Ent_Apr2024_SPA","Abril 2024: Boletín Liberty Networks","04-10-2024 08:06 AM","33.69","34.82","17.90","5856","3015","1048","687","11.73","1973","0.10","6","0.00","LATAM_Info_Newsletter_Ent_Apr2024"
